"BehaviorSpace results (NetLogo 6.2.2)"
"PaleoCOOP_model.nlogo"
"Scenario4_alpha_TienShan"
"07/20/2024 20:26:35:563 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","533","0","327"
"max-energy","100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,
"prob-cooperation","0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,,"0.2",,,,,,"0.5",,,,,,"0.8",,,,,
"scenario","Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,,"Scenario4",,,,,
"learning-rate","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"[reporter]","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan","count hominins with [cooperate? = true]","count hominins with [cooperate? = false]","death-hypothermia","death-old","death-starvation","get-deltap-tienshan"
"[final]","0","13","0","0","487","0","0","0","0","0","430","<RuntimePrimitiveException>","0","0","0","0","514","<RuntimePrimitiveException>","0","0","0","0","372","<RuntimePrimitiveException>","0","0","0","0","430","<RuntimePrimitiveException>","0","0","0","0","508","<RuntimePrimitiveException>","9","0","0","0","371","0","0","0","0","0","444","<RuntimePrimitiveException>","0","0","0","0","458","<RuntimePrimitiveException>","0","0","0","0","362","<RuntimePrimitiveException>","0","0","0","0","437","<RuntimePrimitiveException>","0","0","0","0","508","<RuntimePrimitiveException>","0","0","0","0","352","<RuntimePrimitiveException>","0","0","0","0","439","<RuntimePrimitiveException>","0","0","0","0","508","<RuntimePrimitiveException>","0","0","0","0","360","<RuntimePrimitiveException>","0","0","0","0","480","<RuntimePrimitiveException>","0","0","0","0","458","<RuntimePrimitiveException>","0","0","0","0","352","<RuntimePrimitiveException>","0","0","0","0","475","<RuntimePrimitiveException>","0","0","0","0","509","<RuntimePrimitiveException>","0","0","0","0","352","<RuntimePrimitiveException>","0","0","0","0","475","<RuntimePrimitiveException>","0","0","0","0","509","<RuntimePrimitiveException>","0","0","0","0","363","<RuntimePrimitiveException>","0","0","0","0","465","<RuntimePrimitiveException>","0","0","0","0","458","<RuntimePrimitiveException>"
"[min]","0","0","0","0","0","-0.15087807325639735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.0772746188476534","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-0.25049914701455084","0","0","0","0","0","-0.1508780732563973","0","0","0","0","0","-0.7334965689939337","0","0","0","0","0","-0.09429879578524833","0","0","0","0","0","-0.09429879578524833","0","0","0","0","0","0","0","0","0","0","0","-0.05763589024634489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.4176712306686193","0","0","0","0","0","-0.26730958762791635","0","0","0","0","0","-0.42563652180196654","0","0","0","0","0","-0.07467165025863509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.6497484205349378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.5150372282918343","0","0","0","0","0","-0.12712004243843728","0","0","0","0","0","-0.1177764746099994"
"[max]","162","34","0","0","487","0.13291611953481527","148","20","0","0","430","0.13265738456229717","223","9","0","0","514","0.11732834974136491","103","42","0","0","372","0.13207208729867684","148","20","0","0","430","0.13099337404593728","223","16","0","0","508","0.11134564390146202","100","46","0","0","371","0.12985092341199259","171","19","0","0","444","0.1162254127884481","184","9","0","0","458","0.086850643679339","48","77","0","0","362","0.11655338005476869","163","19","0","0","437","0.11636637296188783","223","16","0","0","508","0.10933021858835307","37","77","0","0","352","0.11538267172339442","163","19","0","0","439","0.1128856926929017","223","16","0","0","508","0.10559102743841377","29","77","0","0","360","0.017021610391406754","177","19","0","0","480","0.1144119753878936","184","9","0","0","458","0.08789761099585429","73","77","0","0","352","0.10352455458638302","182","20","0","0","475","0.1035865224739008","223","16","0","0","509","0.10133208743534121","73","77","0","0","352","0.10337526410057651","182","20","0","0","475","0.10338208611802725","223","16","0","0","509","0.0998364109753655","78","77","0","0","363","0.10303013034340369","185","23","0","0","465","0.10280669768180901","184","9","0","0","458","0.08923278131231532"
"[mean]","32.27726894254788","6.7069109075770195","0","0","275.6061615320566","0.03937606085719662","42.72617743702081","4.548740416210296","0","0","197.36254107338445",,"52.78002378121284","2.367419738406659","0","0","219.87514863258025",,"37.222088835534215","8.282112845138055","0","0","143.34933973589435",,"42.72617743702081","4.548740416210296","0","0","197.36254107338445",,"50.626309662398135","2.3643771827706637","0","0","224.9091967403958",,"27.038301415487094","6.425478767693589","0","0","211.32389675270608","0.017359465550844395","45.10971428571428","3.096","0","0","196.28457142857144",,"48.99295774647887","1.4964788732394365","0","0","191.29460093896714",,"15.279236276849643","30.28997613365155","0","0","136.05250596658712",,"46.45454545454545","4.43801652892562","0","0","184.21487603305786",,"50.626309662398135","2.3643771827706637","0","0","224.9091967403958",,"14.831566548881037","29.974087161366313","0","0","138.40282685512366",,"47.30314009661836","4.216183574879227","0","0","172.79468599033817",,"50.626309662398135","2.3643771827706637","0","0","224.9091967403958",,"12.187127532777115","33.05482717520858","0","0","136.22526817640048",,"43.84589800443459","4.811529933481153","0","0","213.43569844789357",,"48.99295774647887","1.4964788732394365","0","0","191.29460093896714",,"21.154121863799283","24.61768219832736","0","0","134.2031063321386",,"45.98500576701269","3.6585928489042674","0","0","207.19492502883506",,"51.961313012895666","2.3868698710433764","0","0","222.2168815943728",,"21.154121863799283","24.61768219832736","0","0","134.2031063321386",,"45.98500576701269","3.6585928489042674","0","0","207.19492502883506",,"51.961313012895666","2.3868698710433764","0","0","222.2168815943728",,"21.112826603325416","24.540380047505938","0","0","136.96318289786223",,"43.118847539015604","4.601440576230492","0","0","191.55582232893158",,"48.99295774647887","1.4964788732394365","0","0","191.29460093896714",
"[steps]","1200","1200","1200","1200","1200","1200","912","912","912","912","912","912","840","840","840","840","840","840","832","832","832","832","832","832","912","912","912","912","912","912","858","858","858","858","858","858","1200","1200","1200","1200","1200","1200","874","874","874","874","874","874","851","851","851","851","851","851","837","837","837","837","837","837","846","846","846","846","846","846","858","858","858","858","858","858","848","848","848","848","848","848","827","827","827","827","827","827","858","858","858","858","858","858","838","838","838","838","838","838","901","901","901","901","901","901","851","851","851","851","851","851","836","836","836","836","836","836","866","866","866","866","866","866","852","852","852","852","852","852","836","836","836","836","836","836","866","866","866","866","866","866","852","852","852","852","852","852","841","841","841","841","841","841","832","832","832","832","832","832","851","851","851","851","851","851"
